Item.Num,zerofat,lowfat,highfat,organic,all.natural,probiotic,fiber,fob,SBS.cup,NCIT.cup,Flavor1,Brand,Class
57255,1,0,0,0,0,0,0,1,0,0,"black cherry",PVTLBL,REGULAR
59913,1,0,0,0,0,0,0,1,0,0,"mixed berry",PVTLBL,REGULAR
67433,0,1,0,0,0,0,0,0,0,0,peach,PVTLBL,REGULAR
77590,1,0,0,0,0,0,0,0,0,0,strawberry,YO,REGULAR
77591,1,0,0,0,0,0,0,0,0,0,raspberry,YO,REGULAR
77593,1,0,0,0,0,0,0,0,0,0,cherry,YO,REGULAR
77854,1,0,0,0,0,0,0,0,0,0,plain,DANNON,REGULAR
84446,0,1,0,0,0,0,0,0,0,0,cherry,PVTLBL,REGULAR
84455,0,1,0,0,0,0,0,0,0,0,orange,PVTLBL,REGULAR
84467,0,1,0,0,0,0,0,0,0,0,coffee,PVTLBL,REGULAR
84476,0,1,0,0,0,0,0,0,0,0,vanilla,PVTLBL,REGULAR
86390,1,0,0,0,0,0,0,1,0,0,lemon,PVTLBL,REGULAR
86731,1,0,0,0,0,0,0,0,0,0,vanilla,DANNON,REGULAR
86743,1,0,0,0,0,0,0,0,0,0,chryvan,DANNON,REGULAR
86786,1,0,0,0,0,0,0,0,0,0,plain,CROWLEY,NA
86791,0,1,0,0,0,0,0,0,0,0,vanilla,PVTLBL,NA
86800,0,1,0,0,0,0,0,0,0,0,plain,PVTLBL,NA
86896,1,0,0,0,0,0,0,0,0,0,plain,PVTLBL,NA
89490,0,0,1,1,0,0,0,0,0,0,plain,HAWTHORNE,NA
89793,0,1,0,0,1,1,0,0,0,0,blueberry,LIFEWAY,NA
90333,0,1,0,0,1,0,0,0,0,0,plain,LIFEWAY,NA
90345,0,1,0,0,1,0,0,0,0,0,strawberry,LIFEWAY,NA
90453,0,1,0,0,1,0,0,0,0,0,raspberry,LIFEWAY,NA
90459,0,1,0,0,1,0,0,0,0,0,peach,LIFEWAY,NA
90909,1,0,0,0,0,0,0,0,0,0,vanilla,DANNON,NA
94524,0,0,1,0,0,0,0,0,0,0,blueberry,SILKSOY,NA
94625,0,1,0,0,0,0,0,1,0,0,strawberry,PVTLBL,REGULAR
94646,0,1,0,0,0,0,0,1,0,0,raspberry,PVTLBL,REGULAR
94667,0,1,0,0,0,0,0,1,0,0,strawban,PVTLBL,REGULAR
94673,0,1,0,0,0,0,0,1,0,0,pineapple,PVTLBL,REGULAR
94679,0,1,0,0,0,0,0,1,0,0,peach,PVTLBL,REGULAR
94682,0,1,0,0,0,0,0,1,0,0,blueberry,PVTLBL,REGULAR
94685,0,1,0,0,0,0,0,1,0,0,chryvan,PVTLBL,REGULAR
94697,0,1,0,0,0,0,0,1,0,0,"mixed berry",PVTLBL,REGULAR
94709,0,1,0,0,0,0,0,1,0,0,aprmango,PVTLBL,REGULAR
94718,0,1,0,0,0,0,0,1,0,0,cocpnple,PVTLBL,REGULAR
94739,0,1,0,0,0,0,0,0,0,0,plain,PVTLBL,REGULAR
94742,0,1,0,0,0,0,0,0,0,0,vanilla,PVTLBL,REGULAR
94761,0,0,1,0,0,0,0,0,0,0,raspberry,SILKSOY,NA
94851,0,0,1,0,0,0,0,0,0,0,strawberry,SILKSOY,NA
94872,0,0,1,0,0,0,0,0,0,0,vanilla,SILKSOY,NA
95142,0,0,1,0,0,0,0,0,0,0,plain,SILKSOY,NA
102071,0,1,0,0,1,0,0,1,0,0,banhoney,CHOBANI,NA
102075,0,1,0,0,1,0,0,1,0,0,"mixed berry",CHOBANI,NA
107201,1,0,0,1,0,1,0,0,0,0,strawberry,STONYFIELD,REGULAR
107265,1,0,0,1,0,1,0,0,0,0,vanilla,STONYFIELD,REGULAR
107420,0,1,0,0,0,0,0,0,0,0,strawberry,YO,REGULAR
108345,0,0,1,0,1,0,0,0,1,0,strawberry,FAGE,GREEK
109217,1,0,0,0,0,1,0,0,0,0,vanilla,DANACTIVIA,REGULAR
109248,1,0,0,0,0,1,0,0,0,0,strawberry,DANACTIVIA,REGULAR
109262,1,0,0,0,0,1,0,0,0,0,peach,DANACTIVIA,REGULAR
109286,1,0,0,0,0,1,0,0,0,0,raspberry,DANACTIVIA,REGULAR
109481,0,1,0,0,0,0,0,0,0,0,strawberry,DANNON,NA
109483,0,1,0,0,0,0,0,0,0,0,blueberry,DANNON,NA
110569,0,0,1,1,0,0,0,0,0,0,vanilla,STONYFIELD,REGULAR
110604,0,0,1,1,0,0,0,1,0,0,strawberry,STONYFIELD,REGULAR
110664,0,0,1,1,0,0,0,1,0,0,peach,STONYFIELD,REGULAR
110735,1,0,0,1,0,0,0,1,0,0,blueberry,STONYFIELD,REGULAR
110736,1,0,0,1,0,0,0,1,0,0,cherry,STONYFIELD,REGULAR
110739,1,0,0,1,0,0,0,0,0,0,lemon,STONYFIELD,REGULAR
110750,1,0,0,1,0,0,0,0,0,0,plain,STONYFIELD,REGULAR
110758,1,0,0,1,0,0,0,1,0,0,chocolate,STONYFIELD,REGULAR
110760,1,0,0,1,0,0,0,1,0,0,pommxbry,STONYFIELD,REGULAR
110766,1,0,0,1,0,0,0,1,0,0,keylime,STONYFIELD,REGULAR
111910,0,0,1,1,0,0,0,0,0,0,vanilla,STONYFIELD,REGULAR
111916,0,0,1,1,0,0,0,1,0,0,strawberry,STONYFIELD,REGULAR
112466,0,1,0,1,0,0,0,0,0,0,blueberry,STONYFIELD,REGULAR
112552,0,1,0,1,0,0,0,0,0,0,vanilla,STONYFIELD,REGULAR
112582,0,1,0,1,0,0,0,0,0,0,raspberry,STONYFIELD,REGULAR
112614,0,1,0,1,0,0,0,0,0,0,strawberry,STONYFIELD,REGULAR
112660,0,0,1,1,0,0,0,0,0,0,plain,STONYFIELD,NA
112703,0,0,1,1,0,0,0,0,0,0,vanilla,STONYFIELD,NA
112777,0,1,0,1,0,0,0,0,0,0,plain,STONYFIELD,NA
112782,0,1,0,1,0,0,0,0,0,0,vanilla,STONYFIELD,NA
112792,0,1,0,1,0,0,0,0,0,0,banvan,STONYFIELD,NA
112794,0,1,0,1,0,0,0,0,0,0,strawberry,STONYFIELD,NA
112797,0,0,1,1,0,0,0,0,0,0,vanilla,STONYFIELD,NA
112802,0,0,1,1,0,0,0,0,0,0,plain,STONYFIELD,NA
112890,0,1,0,1,0,0,0,0,0,0,strawberry,STONYFIELD,NA
113111,0,1,0,1,0,0,0,0,0,0,strawberry/strawban,STONYFIELD,NA
113126,0,1,0,1,0,0,0,0,0,0,strawvan/blueberry,STONYFIELD,NA
113133,0,0,1,1,0,0,0,0,0,0,peach,STONYFIELD,NA
113178,0,0,1,1,0,0,0,0,0,0,banana/vanilla,STONYFIELD,NA
113213,0,0,1,1,0,0,0,0,0,0,apple/blueberry,STONYFIELD,NA
113218,0,0,1,1,0,0,0,0,0,0,"apple/mixed berry",STONYFIELD,NA
113298,0,0,1,1,0,0,0,0,0,0,peach,STONYFIELD,NA
113311,0,0,1,1,0,0,0,0,0,0,banana,STONYFIELD,NA
113359,0,1,0,1,0,0,0,0,0,0,strawberry,STONYFIELD,NA
113370,0,1,0,1,0,0,0,0,0,0,banmxbry,STONYFIELD,NA
113400,0,1,0,1,0,0,0,0,0,0,"mixed berry",STONYFIELD,NA
113478,0,1,0,1,0,0,0,0,0,0,peach,STONYFIELD,NA
113529,0,1,0,1,0,0,0,0,0,0,strawberry,STONYFIELD,NA
113548,0,1,0,1,0,0,0,1,0,0,soy/strawberry,STONYFIELD,NA
113568,0,1,0,1,0,0,0,0,0,0,soy/blueberry,STONYFIELD,NA
113580,0,1,0,1,0,0,0,0,0,0,soy/raspberry,STONYFIELD,NA
113585,0,1,0,1,0,0,0,1,0,0,soy/peach,STONYFIELD,NA
113638,0,1,0,1,0,0,0,0,0,0,soy/vanilla,STONYFIELD,NA
113643,0,1,0,1,0,0,0,0,0,0,soy/chocolate,STONYFIELD,NA
113669,0,1,0,1,0,0,0,0,0,0,strawberry/peach,STONYFIELD,NA
121612,0,0,1,1,0,0,0,0,0,0,lemon,"MAPLE HILL",REGULAR
121630,0,0,1,1,0,0,0,0,0,0,blueberry,"MAPLE HILL",REGULAR
121633,0,0,1,1,0,0,0,0,0,0,maple,"MAPLE HILL",REGULAR
121648,0,0,1,1,0,0,0,0,0,0,orange,"MAPLE HILL",REGULAR
121649,0,0,1,1,0,0,0,0,0,0,plain,"MAPLE HILL",REGULAR
121658,0,0,1,1,0,0,0,0,0,0,vanilla,"MAPLE HILL",REGULAR
121664,0,0,1,1,0,0,0,0,0,0,maple,"MAPLE HILL",NA
121670,0,0,1,1,0,0,0,0,0,0,plain,"MAPLE HILL",NA
123201,0,0,1,0,0,0,0,0,0,0,maple,WAKEROBIN,NA
124337,0,0,1,0,0,0,0,0,0,0,plain,DANNON,NA
125139,0,1,0,0,0,0,0,0,0,0,peach,DANNON,NA
126714,0,1,0,0,0,1,0,0,0,0,strawberry/peach,DANACTIVIA,REGULAR
137544,0,1,0,0,0,0,0,0,0,0,strawberry,DANNON,NA
137681,0,1,0,1,0,0,0,0,0,0,strawberry/blueberry,STONYFIELD,REGULAR
141813,0,1,0,0,0,0,0,0,0,0,vanilla,DANNON,NA
142501,0,0,1,0,1,0,0,0,1,0,cherry,FAGE,GREEK
142513,1,0,0,0,1,0,0,0,0,0,plain,FAGE,NA
144149,0,0,1,0,1,1,0,0,0,0,plain,LIFEWAY,NA
144152,0,0,1,0,1,1,0,0,0,0,raspberry,LIFEWAY,NA
