Household.Num,Income,FamilySize,NumAdults,RandData,IncomeBin,FSBin,AdultBin
5843444,150000,2,2,1,>150,2,2
5843747,87500,4,2,1,75-100,4-5,2
5845141,62500,1,1,1,50-75,1,1
5846646,87500,6,5,1,75-100,>=6,5-6
5847242,62500,3,2,1,50-75,3,2
5848242,35000,8,6,1,25-50,>=6,5-6
5848747,45000,7,6,1,25-50,>=6,5-6
5849343,25000,1,1,1,25-50,1,1
5851141,87500,4,3,1,75-100,4-5,3-4
5851802,35000,3,3,0,25-50,3,3-4
5852444,150000,4,3,1,>150,4-5,3-4
5857848,87500,3,3,1,75-100,3,3-4
5858343,87500,3,2,1,75-100,3,2
5859141,62500,5,3,1,50-75,4-5,3-4
5859646,87500,5,5,1,75-100,4-5,5-6
5860545,35000,1,1,1,25-50,1,1
5861343,62500,2,2,1,50-75,2,2
5861444,62500,4,4,1,50-75,4-5,3-4
5862242,150000,6,4,1,>150,>=6,3-4
5862747,62500,3,3,1,50-75,3,3-4
5862848,45000,2,2,1,25-50,2,2
5863343,35000,1,1,1,25-50,1,1
5864848,17500,4,3,1,<25,4-5,3-4
5865848,62500,6,3,1,50-75,>=6,3-4
5866141,17500,3,2,1,<25,3,2
5866848,62500,3,3,1,50-75,3,3-4
5867444,62500,1,1,1,50-75,1,1
5868545,62500,4,3,1,50-75,4-5,3-4
5868747,200001,2,2,1,>150,2,2
5870141,150000,3,2,1,>150,3,2
5870343,45000,2,2,1,25-50,2,2
5872141,62500,6,2,1,50-75,>=6,2
5872242,25000,3,3,1,25-50,3,3-4
5872343,62500,4,4,1,50-75,4-5,3-4
5874848,150000,5,4,1,>150,4-5,3-4
5877545,62500,1,1,1,50-75,1,1
5878141,62500,4,2,1,50-75,4-5,2
5879747,25000,1,1,1,25-50,1,1
5881343,62500,4,4,1,50-75,4-5,3-4
5881646,112500,6,4,0,100-150,>=6,3-4
5882343,87500,4,3,1,75-100,4-5,3-4
5883343,62500,2,2,1,50-75,2,2
5883444,150000,5,5,1,>150,4-5,5-6
5883646,62500,5,4,1,50-75,4-5,3-4
5884545,62500,6,4,1,50-75,>=6,3-4
5885848,87500,4,4,1,75-100,4-5,3-4
5886141,150000,6,6,1,>150,>=6,5-6
5886343,62500,4,4,1,50-75,4-5,3-4
5886444,45000,3,2,1,25-50,3,2
5886545,87500,4,3,1,75-100,4-5,3-4
5886747,45000,4,4,1,25-50,4-5,3-4
5888747,62500,2,2,1,50-75,2,2
5888788,87500,2,1,0,75-100,2,1
5889444,87500,5,4,1,75-100,4-5,3-4
5889848,87500,2,2,1,75-100,2,2
5890444,112500,6,3,1,100-150,>=6,3-4
5891646,150000,3,2,1,>150,3,2
5892444,62500,3,2,1,50-75,3,2
5892646,62500,3,3,1,50-75,3,3-4
5892747,35000,6,6,1,25-50,>=6,5-6
5893545,62500,4,2,1,50-75,4-5,2
5894141,45000,1,1,1,25-50,1,1
5896512,87500,7,5,0,75-100,>=6,5-6
5896545,62500,5,3,1,50-75,4-5,3-4
5897444,62500,4,3,1,50-75,4-5,3-4
5898444,35000,1,1,1,25-50,1,1
5898646,87500,3,2,1,75-100,3,2
5898856,45000,2,1,0,25-50,2,1
5903141,62500,2,2,1,50-75,2,2
5908343,35000,6,3,1,25-50,>=6,3-4
5913747,62500,8,5,1,50-75,>=6,5-6
5913848,25000,5,4,1,25-50,4-5,3-4
5917141,87500,4,3,1,75-100,4-5,3-4
5917343,150000,4,2,1,>150,4-5,2
5920646,112500,1,1,1,100-150,1,1
5923242,62500,1,1,1,50-75,1,1
5924000,62500,5,2,0,50-75,4-5,2
5924545,35000,3,2,1,25-50,3,2
5925444,87500,3,3,1,75-100,3,3-4
5926646,25000,2,1,1,25-50,2,1
5926747,35000,2,2,1,25-50,2,2
5927646,112500,6,6,1,100-150,>=6,5-6
5929444,62500,5,4,1,50-75,4-5,3-4
5933242,62500,3,3,1,50-75,3,3-4
5933343,35000,1,1,1,25-50,1,1
5935141,10000,1,1,1,<25,1,1
5938444,62500,3,3,1,50-75,3,3-4
5940141,35000,1,1,1,25-50,1,1
5941141,62500,4,4,1,50-75,4-5,3-4
5941444,112500,1,1,1,100-150,1,1
5941848,62500,2,1,1,50-75,2,1
5942444,87500,2,2,1,75-100,2,2
5943747,150000,3,3,1,>150,3,3-4
5946444,45000,2,1,1,25-50,2,1
5948141,35000,6,6,1,25-50,>=6,5-6
5949545,112500,4,4,1,100-150,4-5,3-4
5950848,17500,6,6,1,<25,>=6,5-6
5953242,45000,3,3,1,25-50,3,3-4
5954646,35000,1,1,1,25-50,1,1
5955747,62500,3,2,1,50-75,3,2
